writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  124 - BaseComponent.get() called; ID: f53817cd-8680-4b68-b38b-89e18e963035
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  417 - BaseComponent.getType() called; UUID: f53817cd-8680-4b68-b38b-89e18e963035
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  432 - Found component type: MarkdownComponent
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  131 - Instantiating object of type <class 'writehat.components.MarkdownComponent.Component'>
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  315 - db.update() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  321 - Key "_id" is not valid for this model
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  157 - Initializing form class for Component
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  238 - Component.json() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  244 - self._id: f53817cd-8680-4b68-b38b-89e18e963035
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  315 - db.update() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  321 - Key "_id" is not valid for this model
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  262 - db.save() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  266 - result: {'n': 1, 'upserted': UUID('f289242b-0cf3-4b11-9886-69d73f7f9b23'), 'nModified': 0, 'ok': 1.0, 'updatedExisting': False}
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  254 - component has changed on record with componentID: f289242b-0cf3-4b11-9886-69d73f7f9b23, generating new Revision
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - revision.py:   30 - Revision.new() called; uuid: f289242b-0cf3-4b11-9886-69d73f7f9b23 fieldName text owner admin
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - revision.py:   48 - Revision.save() called; uuid: b59edce0-d922-47d5-8703-83eb6f735e4f fieldName text owner admin [next version:1]
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - models.py:  276 - Revision.save() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  124 - BaseComponent.get() called; ID: f289242b-0cf3-4b11-9886-69d73f7f9b23
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  417 - BaseComponent.getType() called; UUID: f289242b-0cf3-4b11-9886-69d73f7f9b23
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  432 - Found component type: MarkdownComponent
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  131 - Instantiating object of type <class 'writehat.components.MarkdownComponent.Component'>
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  315 - db.update() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  321 - Key "_id" is not valid for this model
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  315 - db.update() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - db.py:  315 - db.update() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  157 - Initializing form class for Component
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  238 - Component.json() called
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  244 - self._id: f289242b-0cf3-4b11-9886-69d73f7f9b23
writehat-1  | 2026-05-13 12:47:19 - DEBUG   - base.py:  124 - BaseComponent.get() called; ID: 1b2ab2b9-357f-4017-8faf-0f15f5773138
